ID,Area_total,Area_overlap,Area_CONABIO,Area_GMW_calculated,Area_not_overlapped,Percent_overlap,Area_JCONABIO,Area_JGMW,Difference_JArea,%conabio_total,%GMW_total
1481,0.759870102,0,0,0.759870102,0.759870102,0,0,0.759870102,-0.759870102,0,1
1482,0.078358923,0,0,0.078358923,0.078358923,0,0,0.078358923,-0.078358923,0,1
1483,1.648802868,0,0,1.648802868,1.648802868,0,0,1.648802868,-1.648802868,0,1
1484,0.755929828,0,0,0.755929828,0.755929828,0,0,0.755929828,-0.755929828,0,1
1485,1.673881033,0,0,1.673881033,1.673881033,0,0,1.673881033,-1.673881033,0,1
1486,0.107986948,0,0,0.107986948,0.107986948,0,0,0.107986948,-0.107986948,0,1
1487,11.58689961,0,0,11.58689961,11.58689961,0,0,11.58689961,-11.58689961,0,1
1488,7.797161398,0,0,7.797161398,7.797161398,0,0,7.797161398,-7.797161398,0,1
1489,22.2613997,0,0,22.2613997,22.2613997,0,0,22.2613997,-22.2613997,0,1
1490,11.65850373,0,0,11.65850373,11.65850373,0,0,11.65850373,-11.65850373,0,1
1491,0.198973651,0,0,0.198973651,0.198973651,0,0,0.198973651,-0.198973651,0,1
1492,0.142564793,0,0,0.142564793,0.142564793,0,0,0.142564793,-0.142564793,0,1
1493,36.91351181,0,0,36.91351181,36.91351181,0,0,36.91351181,-36.91351181,0,1
1494,70.70049431,0,0,70.70049431,70.70049431,0,0,70.70049431,-70.70049431,0,1
1495,16.53652042,0,0,16.53652042,16.53652042,0,0,16.53652042,-16.53652042,0,1
1496,15.80685031,0,0,15.80685031,15.80685031,0,0,15.80685031,-15.80685031,0,1
1497,25.25869589,0,0,25.25869589,25.25869589,0,0,25.25869589,-25.25869589,0,1
1498,1.180075961,0,0,1.180075961,1.180075961,0,0,1.180075961,-1.180075961,0,1
1499,24.5691743,0,0,24.5691743,24.5691743,0,0,24.5691743,-24.5691743,0,1
1500,2.017192391,0,0,2.017192391,2.017192391,0,0,2.017192391,-2.017192391,0,1
1501,18.29763998,0,0,18.29763998,18.29763998,0,0,18.29763998,-18.29763998,0,1
